

Time (sec), Load (N), Stress (KPa), Strain (mm), Position (mm), Cycle
12.600, 0.49, 1, , 0.963, 1
12.620, 0.49, 1, , 0.965, 1
12.640, 0.46, 1, , 0.966, 1
12.660, 0.49, 1, , 0.968, 1
12.680, 0.47, 1, , 0.970, 1
12.700, 0.50, 1, , 0.971, 1
12.720, 0.48, 1, , 0.973, 1
12.740, 0.50, 1, , 0.975, 1
12.760, 0.46, 1, , 0.976, 1
12.780, 0.50, 1, , 0.978, 1
12.800, 0.47, 1, , 0.980, 1
12.820, 0.48, 1, , 0.981, 1
12.840, 0.49, 1, , 0.982, 1
12.860, 0.50, 1, , 0.985, 1
12.880, 0.47, 1, , 0.986, 1
12.900, 0.50, 1, , 0.988, 1
12.920, 0.50, 1, , 0.990, 1
12.940, 0.48, 1, , 0.992, 1
12.960, 0.49, 1, , 0.993, 1
12.980, 0.49, 1, , 0.995, 1
13.000, 0.48, 1, , 0.996, 1
13.020, 0.49, 1, , 0.997, 1
13.040, 0.49, 1, , 0.999, 1
13.060, 0.47, 1, , 1.002, 1
13.080, 0.51, 1, , 1.003, 1
